t,slip_2,slip_3,slip_rate_2,slip_rate_3,shear_stress_2,shear_stress_3,pore_pressure,darcy_vel_2,darcy_vel_3,state
0.0000000e+00,0.0000000e+00,0.0000000e+00,-1.2000000e+01,-2.0000000e+01,1.4600000e+01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.6989700e+00
6.5000000e+03,9.8618480e-07,5.1099650e-27,-9.5018660e+00,-2.9467420e+01,1.4599640e+01,9.6747930e-20,1.1084210e+00,-0.0000000e+00,0.0000000e+00,8.6980510e+00
1.3000000e+04,5.8187700e-06,8.6218510e-26,-8.8491280e+00,-2.8764190e+01,1.4596300e+01,-1.7560950e-19,2.0073920e+00,-0.0000000e+00,0.0000000e+00,8.6936200e+00
1.9500000e+04,2.5391070e-05,1.0606400e-24,-8.2692510e+00,-2.9101670e+01,1.4579460e+01,-4.9080230e-19,2.7636270e+00,-0.0000000e+00,0.0000000e+00,8.6757670e+00
2.6000000e+04,9.2089460e-05,4.5936050e-23,-7.7714840e+00,-2.5872700e+01,1.4516920e+01,1.3687930e-17,3.4163010e+00,-0.0000000e+00,0.0000000e+00,8.6153560e+00
3.2500000e+04,2.7316900e-04,1.6321850e-22,-7.3872670e+00,-2.5221090e+01,1.4352230e+01,1.1866270e-17,3.9903930e+00,-0.0000000e+00,0.0000000e+00,8.4529570e+00
3.9000000e+04,6.4812320e-04,2.4540040e-22,-7.1206090e+00,-2.4804170e+01,1.4051410e+01,-7.2534150e-17,4.5028070e+00,-0.0000000e+00,0.0000000e+00,8.1199580e+00
4.5500000e+04,1.2700710e-03,3.0059030e-21,-6.9335870e+00,-2.4942540e+01,1.3625340e+01,4.4888460e-17,4.9655190e+00,-0.0000000e+00,0.0000000e+00,7.5712340e+00
5.2000000e+04,2.1736680e-03,1.4649090e-20,-6.7885240e+00,-2.3829250e+01,1.3091780e+01,4.6276940e-16,5.3873250e+00,-0.0000000e+00,0.0000000e+00,6.7769610e+00
5.8435368e+04,3.3915960e-03,2.9241350e-20,-6.6578310e+00,-2.2899710e+01,1.2460330e+01,2.7455770e-16,5.7711660e+00,-0.0000000e+00,0.0000000e+00,5.7094000e+00
