t,slip_2,slip_3,slip_rate_2,slip_rate_3,shear_stress_2,shear_stress_3,pore_pressure,darcy_vel_2,darcy_vel_3,state
0.0000000e+00,0.0000000e+00,0.0000000e+00,-1.2000000e+01,-2.0000000e+01,1.2927670e+01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.6989700e+00
6.0000000e+03,1.1978790e-08,-5.1585830e-31,-1.1431120e+01,-3.0000000e+01,1.2927670e+01,-1.0661760e-21,1.0546820e+00,-0.0000000e+00,0.0000000e+00,8.6989640e+00
1.2500000e+04,6.5639600e-08,-5.8294770e-30,-1.0816570e+01,-3.0000000e+01,1.2927640e+01,-9.6358370e-22,2.0119520e+00,-0.0000000e+00,0.0000000e+00,8.6989210e+00
1.9000000e+04,2.7083180e-07,-6.6346110e-29,-1.0253110e+01,-3.0000000e+01,1.2927530e+01,-3.6521330e-21,2.8254560e+00,-0.0000000e+00,0.0000000e+00,8.6987390e+00
2.5500000e+04,9.7851190e-07,-4.7301060e-28,-9.7313740e+00,-3.0000000e+01,1.2927100e+01,-7.1118000e-21,3.5296770e+00,-0.0000000e+00,0.0000000e+00,8.6981020e+00
3.2000000e+04,3.2192810e-06,-2.3686730e-27,-9.2444010e+00,-3.0000000e+01,1.2925710e+01,-2.5521770e-20,4.1487630e+00,-0.0000000e+00,0.0000000e+00,8.6960780e+00
3.8500000e+04,9.8162080e-06,-1.2237750e-26,-8.7875340e+00,-2.9460850e+01,1.2921550e+01,-1.4797920e-20,4.7000710e+00,-0.0000000e+00,0.0000000e+00,8.6901240e+00
4.5000000e+04,2.7996350e-05,-5.9455280e-26,-8.3591370e+00,-2.8600860e+01,1.2909970e+01,-1.0619670e-19,5.1963810e+00,-0.0000000e+00,0.0000000e+00,8.6737440e+00
5.1500000e+04,7.4774480e-05,-2.3372730e-25,-7.9627420e+00,-2.8893230e+01,1.2880010e+01,-2.5756710e-20,5.6473090e+00,-0.0000000e+00,0.0000000e+00,8.6317090e+00
5.8000000e+04,1.8504370e-04,-1.4722440e-24,-7.6108270e+00,-2.7704110e+01,1.2809170e+01,-4.4204410e-19,6.0602360e+00,-0.0000000e+00,0.0000000e+00,8.5330150e+00
6.4500000e+04,4.1338840e-04,-6.9036870e-24,-7.3264280e+00,-2.7713290e+01,1.2662470e+01,2.0925400e-18,6.4409250e+00,-0.0000000e+00,0.0000000e+00,8.3298730e+00
7.1000000e+04,8.0712280e-04,3.6572860e-25,-7.1314710e+00,-2.6039790e+01,1.2410530e+01,-4.5469290e-18,6.7939520e+00,-0.0000000e+00,0.0000000e+00,7.9823010e+00
7.7500000e+04,1.3601680e-03,-7.8787670e-23,-7.0230470e+00,-2.5339090e+01,1.2060990e+01,-4.4206350e-19,7.1230020e+00,-0.0000000e+00,0.0000000e+00,7.4976360e+00
8.4000000e+04,2.0204120e-03,-7.3609660e-23,-6.9694370e+00,-2.5189700e+01,1.1656180e+01,-6.7864250e-18,7.4310830e+00,-0.0000000e+00,0.0000000e+00,6.9217250e+00
9.0500000e+04,2.7493150e-03,-2.5329230e-22,-6.9309040e+00,-2.4997850e+01,1.1236950e+01,-6.5736440e-19,7.7206760e+00,-0.0000000e+00,0.0000000e+00,6.2872030e+00
9.7000000e+04,3.5549260e-03,-6.2193540e-22,-6.8803100e+00,-2.5041630e+01,1.0818570e+01,1.3445500e-18,7.9938530e+00,-0.0000000e+00,0.0000000e+00,5.5878860e+00
