t,slip_2,slip_3,slip_rate_2,slip_rate_3,shear_stress_2,shear_stress_3,pore_pressure,darcy_vel_2,darcy_vel_3,state
0.0000000e+00,0.0000000e+00,0.0000000e+00,-1.2000000e+01,-2.0000000e+01,1.2927670e+01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.6989700e+00
6.0000000e+03,6.0026490e-09,3.7956790e-32,-1.1999440e+01,-3.0000000e+01,1.2927670e+01,3.2569300e-22,1.1771640e-03,-9.5930260e-09,0.0000000e+00,8.6989700e+00
1.2500000e+04,1.2524480e-08,2.4097720e-31,-1.1997350e+01,-3.0000000e+01,1.2927670e+01,-4.3335720e-23,5.1496560e-03,-2.7417270e-08,0.0000000e+00,8.6989700e+00
1.9000000e+04,1.9092690e-08,4.3138190e-32,-1.1993220e+01,-3.0000000e+01,1.2927670e+01,-2.4752160e-22,1.2803400e-02,-5.1863020e-08,0.0000000e+00,8.6989700e+00
2.5500000e+04,2.5741300e-08,-7.3275220e-32,-1.1986750e+01,-3.0000000e+01,1.2927680e+01,7.1067210e-22,2.4631950e-02,-8.1691710e-08,0.0000000e+00,8.6989700e+00
3.2000000e+04,3.2508810e-08,-2.7457400e-31,-1.1977820e+01,-3.0000000e+01,1.2927680e+01,-1.3141050e-21,4.0827130e-02,-1.1573240e-07,0.0000000e+00,8.6989700e+00
3.8500000e+04,3.9436810e-08,-9.5631810e-31,-1.1966410e+01,-3.0000000e+01,1.2927700e+01,-1.4476880e-21,6.1372210e-02,-1.5295000e-07,0.0000000e+00,8.6989690e+00
4.5000000e+04,4.6569320e-08,-2.5931570e-30,-1.1952580e+01,-3.0000000e+01,1.2927730e+01,-1.2378030e-21,8.6112420e-02,-1.9246270e-07,0.0000000e+00,8.6989690e+00
5.1500000e+04,5.3952730e-08,-6.0409300e-30,-1.1936410e+01,-3.0000000e+01,1.2927820e+01,-7.6851070e-21,1.1480660e-01,-2.3353650e-07,0.0000000e+00,8.6989680e+00
5.8000000e+04,6.1636290e-08,-1.5765650e-29,-1.1917990e+01,-3.0000000e+01,1.2928020e+01,-2.5576680e-20,1.4716420e-01,-2.7557080e-07,0.0000000e+00,8.6989670e+00
6.4500000e+04,6.9673180e-08,-3.2877260e-29,-1.1897380e+01,-3.0000000e+01,1.2928420e+01,6.5551800e-22,1.8287070e-01,-3.1808060e-07,0.0000000e+00,8.6989650e+00
7.1000000e+04,7.8121710e-08,-7.2245280e-29,-1.1874630e+01,-3.0000000e+01,1.2929130e+01,-1.7097000e-19,2.2160570e-01,-3.6067880e-07,0.0000000e+00,8.6989640e+00
7.7500000e+04,8.7046150e-08,-1.4908200e-28,-1.1849820e+01,-3.0000000e+01,1.2930220e+01,-1.0485830e-19,2.6305450e-01,-4.0306020e-07,0.0000000e+00,8.6989620e+00
8.4000000e+04,9.6517610e-08,-2.2576190e-28,-1.1822980e+01,-3.0000000e+01,1.2931810e+01,-3.6052410e-20,3.0691560e-01,-4.4498730e-07,0.0000000e+00,8.6989590e+00
9.0500000e+04,1.0661800e-07,-3.5570600e-28,-1.1793950e+01,-3.0000000e+01,1.2934180e+01,-2.3773300e-19,3.5290520e-01,-4.8627770e-07,0.0000000e+00,8.6989560e+00
9.7000000e+04,1.1744820e-07,-5.8531570e-28,-1.1762340e+01,-3.0000000e+01,1.2937780e+01,7.1232830e-19,4.0075980e-01,-5.2679420e-07,0.0000000e+00,8.6989520e+00
1.0350000e+05,1.2913540e-07,-1.0747150e-27,-1.1727800e+01,-3.0000000e+01,1.2943070e+01,-2.8268780e-19,4.5023690e-01,-5.6643620e-07,0.0000000e+00,8.6989480e+00
1.1000000e+05,1.4183460e-07,-1.4864160e-27,-1.1690290e+01,-3.0000000e+01,1.2950160e+01,-1.1178380e-18,5.0111520e-01,-6.0513200e-07,0.0000000e+00,8.6989420e+00
1.1650000e+05,1.5572140e-07,-2.7513640e-27,-1.1650300e+01,-3.0000000e+01,1.2958700e+01,-1.1115110e-18,5.5319370e-01,-6.4283360e-07,0.0000000e+00,8.6989360e+00
1.2300000e+05,1.7098200e-07,-3.9846250e-27,-1.1608420e+01,-3.0000000e+01,1.2968240e+01,-3.8349490e-18,6.0629110e-01,-6.7951180e-07,0.0000000e+00,8.6989280e+00
1.2950000e+05,1.8782470e-07,-4.6627350e-27,-1.1564660e+01,-3.0000000e+01,1.2978840e+01,-1.2116980e-18,6.6024390e-01,-7.1515170e-07,0.0000000e+00,8.6989190e+00
1.3600000e+05,2.0649030e-07,-5.5832310e-27,-1.1519240e+01,-3.0000000e+01,1.2990360e+01,-1.0860860e-18,7.1490570e-01,-7.4975030e-07,0.0000000e+00,8.6989080e+00
1.4250000e+05,2.2725610e-07,-5.4093370e-27,-1.1471960e+01,-3.0000000e+01,1.3003040e+01,2.0153770e-18,7.7014530e-01,-7.8331360e-07,0.0000000e+00,8.6988960e+00
1.4900000e+05,2.5047280e-07,-3.2231220e-27,-1.1422410e+01,-2.9975230e+01,1.3017300e+01,4.4593350e-18,8.2584580e-01,-8.1585410e-07,0.0000000e+00,8.6988810e+00
1.5550000e+05,2.7654970e-07,-2.6375660e-27,-1.1371170e+01,-3.0000000e+01,1.3032660e+01,-6.2544170e-18,8.8190270e-01,-8.4739010e-07,0.0000000e+00,8.6988640e+00
1.6200000e+05,3.0595090e-07,-3.1317470e-27,-1.1318160e+01,-2.9557680e+01,1.3049230e+01,-1.8259020e-18,9.3822320e-01,-8.7794330e-07,0.0000000e+00,8.6988440e+00
1.6850000e+05,3.3923500e-07,-9.5161190e-27,-1.1263630e+01,-2.9790810e+01,1.3066810e+01,3.3935510e-18,9.9472480e-01,-9.0753850e-07,0.0000000e+00,8.6988210e+00
1.7500000e+05,3.7698120e-07,-2.1485850e-26,-1.1209120e+01,-2.9529360e+01,1.3084100e+01,6.0989860e-19,1.0513340e+00,-9.3620230e-07,0.0000000e+00,8.6987930e+00
1.8150000e+05,4.1974820e-07,-3.8913170e-26,-1.1155100e+01,-2.9365490e+01,1.3100690e+01,-1.5786910e-17,1.1079870e+00,-9.6396260e-07,0.0000000e+00,8.6987620e+00
1.8800000e+05,4.6817240e-07,-6.6255710e-26,-1.1101160e+01,-2.9333120e+01,1.3117000e+01,-1.6944530e-18,1.1646260e+00,-9.9084810e-07,0.0000000e+00,8.6987250e+00
1.9450000e+05,5.2300830e-07,-9.4177640e-26,-1.1047070e+01,-2.9232230e+01,1.3133230e+01,-6.5625980e-18,1.2212000e+00,-1.0168880e-06,0.0000000e+00,8.6986830e+00
2.0100000e+05,5.8514580e-07,-1.3347730e-25,-1.0992480e+01,-2.9693680e+01,1.3149750e+01,-2.9112330e-17,1.2776650e+00,-1.0421100e-06,0.0000000e+00,8.6986340e+00
2.0750000e+05,6.5571340e-07,-2.0773380e-25,-1.0936420e+01,-2.9208370e+01,1.3167390e+01,-1.4402160e-17,1.3339810e+00,-1.0665440e-06,0.0000000e+00,8.6985780e+00
2.1400000e+05,7.3624010e-07,-3.0303440e-25,-1.0877650e+01,-2.8795050e+01,1.3187250e+01,-1.2438470e-17,1.3901150e+00,-1.0902180e-06,0.0000000e+00,8.6985140e+00
2.2050000e+05,8.2887040e-07,-4.4887770e-25,-1.0814590e+01,-2.8628840e+01,1.3210710e+01,-5.2068410e-17,1.4460360e+00,-1.1131590e-06,0.0000000e+00,8.6984390e+00
