t,slip_2,slip_3,slip_rate_2,slip_rate_3,shear_stress_2,shear_stress_3,pore_pressure,darcy_vel_2,darcy_vel_3,state
0,0,0,-12,-20,14.6,0,0,0,0,11.604100000000001
500,5.0000000000000003e-10,-1.1432459999999999e-34,-12,-30,14.6,-7.6835209999999999e-24,3.2034320000000001e-05,-0,-5.3023759999999998e-10,11.604100000000001
1000,1.000012e-09,-9.0888309999999999e-34,-11.999980000000001,-30,14.6,-2.6655659999999998e-23,7.378773e-05,-0,-1.1103159999999999e-09,11.604100000000001
1500,1.5000509999999999e-09,-2.3612929999999998e-33,-11.99995,-30,14.6,5.2814970000000002e-23,0.000125995,-0,-1.7400360000000001e-09,11.604100000000001
2000,2.0001239999999999e-09,1.54809e-33,-11.999919999999999,-30,14.6,2.0174720000000001e-22,0.0001893695,-0,-2.4191629999999999e-09,11.604100000000001
2500,2.5002409999999999e-09,9.4070720000000003e-33,-11.999879999999999,-30,14.6,2.053199e-22,0.00026460399999999999,-0,-3.1474329999999999e-09,11.604100000000001
3000,3.0004080000000002e-09,1.6461260000000001e-32,-11.999829999999999,-30,14.6,2.3334539999999999e-22,0.00035237000000000002,-0,-3.9245459999999996e-09,11.604100000000001
3500,3.5006340000000002e-09,2.2813829999999999e-32,-11.999779999999999,-30,14.6,1.31118e-22,0.00045331860000000001,-0,-4.750178e-09,11.604100000000001
4000,4.0009299999999997e-09,2.4255580000000001e-32,-11.99971,-30,14.6,4.3182149999999997e-23,0.00056808019999999996,-0,-5.623978e-09,11.604100000000001
4500,4.5013049999999997e-09,2.4311380000000001e-32,-11.999639999999999,-30,14.6,2.9958049999999998e-23,0.00069726510000000001,-0,-6.5455699999999998e-09,11.604089999999999
5000,5.0017700000000002e-09,2.5601030000000002e-32,-11.999560000000001,-30,14.6,-4.9048139999999998e-23,0.00084146359999999996,-0,-7.5145569999999992e-09,11.604089999999999
5500,5.5023350000000003e-09,1.8714799999999999e-32,-11.999459999999999,-30,14.6,2.476295e-23,0.0010012459999999999,-0,-8.5305209999999999e-09,11.604089999999999
6000,6.0030110000000003e-09,2.0354389999999999e-32,-11.999359999999999,-30,14.6,1.396934e-22,0.0011771640000000001,-0,-9.5930260000000003e-09,11.604089999999999
