t,slip_2,slip_3,slip_rate_2,slip_rate_3,shear_stress_2,shear_stress_3,pore_pressure,darcy_vel_2,darcy_vel_3,state
0,0,0,-12,-20,14.6,0,0,0,0,11.604100000000001
500,5.0000000000000003e-10,-6.0140250000000002e-34,-12,-30,14.6,-9.5838780000000004e-24,3.2034320000000001e-05,-5.3023759999999998e-10,0,11.604100000000001
1000,1.000012e-09,-1.291805e-33,-11.999980000000001,-30,14.6,-4.4112589999999997e-23,7.378773e-05,-1.1103159999999999e-09,0,11.604100000000001
1500,1.5000509999999999e-09,-3.0846729999999998e-33,-11.99995,-30,14.6,-1.8219789999999999e-23,0.000125995,-1.7400360000000001e-09,0,11.604100000000001
2000,2.0001239999999999e-09,-4.8957809999999998e-33,-11.999919999999999,-30,14.6,-9.5681229999999997e-23,0.0001893695,-2.4191629999999999e-09,0,11.604100000000001
2500,2.5002409999999999e-09,-9.447239e-33,-11.999879999999999,-30,14.6,-5.4242769999999996e-23,0.00026460399999999999,-3.1474329999999999e-09,0,11.604100000000001
3000,3.0004080000000002e-09,-1.128131e-32,-11.999829999999999,-30,14.6,-4.5167840000000002e-23,0.00035237000000000002,-3.9245459999999996e-09,0,11.604100000000001
3500,3.5006340000000002e-09,-1.4153810000000001e-32,-11.999779999999999,-30,14.6,-1.1735070000000001e-22,0.00045331860000000001,-4.750178e-09,0,11.604100000000001
4000,4.0009299999999997e-09,-2.1133749999999999e-32,-11.99971,-30,14.6,-2.9249980000000001e-22,0.00056808019999999996,-5.623978e-09,0,11.604100000000001
4500,4.501306e-09,-3.1984139999999999e-32,-11.999639999999999,-30,14.6,-4.4363529999999999e-22,0.00069726510000000001,-6.5455699999999998e-09,0,11.604089999999999
5000,5.0017700000000002e-09,-4.780957e-32,-11.999560000000001,-30,14.6,-2.1232790000000002e-22,0.00084146359999999996,-7.5145569999999992e-09,0,11.604089999999999
5500,5.5023350000000003e-09,-5.9903040000000004e-32,-11.999459999999999,-30,14.6,-5.735414e-22,0.0010012459999999999,-8.5305209999999999e-09,0,11.604089999999999
6000,6.0030110000000003e-09,-7.7975869999999999e-32,-11.999359999999999,-30,14.6,-4.228485e-22,0.0011771640000000001,-9.5930260000000003e-09,0,11.604089999999999
6500,6.5038099999999997e-09,-9.9405689999999998e-32,-11.99925,-30,14.6,-5.5400829999999997e-22,0.001369749,-1.070162e-08,0,11.604089999999999
7000,7.004744e-09,-1.194269e-31,-11.999129999999999,-30,14.6,-5.8484080000000004e-22,0.001579514,-1.1855830000000001e-08,0,11.604089999999999
7500,7.5058260000000003e-09,-1.4100540000000001e-31,-11.998989999999999,-30,14.6,-8.3048249999999998e-22,0.001806953,-1.305518e-08,0,11.604089999999999
8000,8.0070680000000003e-09,-1.7121990000000001e-31,-11.998849999999999,-30,14.6,-1.165171e-21,0.0020525439999999999,-1.4299170000000001e-08,0,11.604089999999999
8500,8.5084829999999993e-09,-2.1056090000000002e-31,-11.99869,-30,14.6,-9.4650290000000008e-22,0.0023167439999999999,-1.5587289999999999e-08,0,11.604089999999999
9000,9.0100860000000002e-09,-2.511193e-31,-11.998530000000001,-30,14.6,-1.1917029999999999e-21,0.002599994,-1.691903e-08,0,11.604089999999999
9500,9.5118890000000004e-09,-2.9241060000000002e-31,-11.99835,-30,14.6,-1.0901970000000001e-21,0.0029027189999999998,-1.829386e-08,0,11.604089999999999
10000,1.0013910000000001e-08,-3.245951e-31,-11.998150000000001,-30,14.6,-1.2976289999999999e-21,0.0032253239999999999,-1.9711240000000001e-08,0,11.604089999999999
10500,1.0516159999999999e-08,-3.7207099999999999e-31,-11.997949999999999,-30,14.6,-1.2943730000000001e-21,0.0035681990000000002,-2.1170639999999999e-08,0,11.604089999999999
11000,1.101865e-08,-4.1381400000000003e-31,-11.997730000000001,-30,14.6,-1.105914e-21,0.0039317199999999997,-2.2671489999999999e-08,0,11.604089999999999
11500,1.15214e-08,-4.5240350000000002e-31,-11.9975,-30,14.6,-1.0421369999999999e-21,0.0043162440000000003,-2.421326e-08,0,11.604089999999999
12000,1.202443e-08,-4.9128769999999996e-31,-11.997260000000001,-30,14.6,-1.205139e-21,0.004722113,-2.5795369999999999e-08,0,11.604089999999999
12500,1.252774e-08,-5.3618299999999996e-31,-11.997,-30,14.6,-1.020215e-21,0.0051496559999999999,-2.741727e-08,0,11.604089999999999
13000,1.303137e-08,-5.8020630000000002e-31,-11.996729999999999,-30,14.6,-1.181978e-21,0.0055991840000000001,-2.9078399999999999e-08,0,11.604089999999999
13500,1.353532e-08,-6.2607049999999998e-31,-11.99644,-30,14.6,-1.370373e-21,0.0060709960000000004,-3.0778170000000001e-08,0,11.604089999999999
14000,1.40396e-08,-6.8013999999999996e-31,-11.99614,-30,14.6,-1.6473060000000001e-21,0.0065653760000000004,-3.2516019999999998e-08,0,11.604089999999999
14500,1.454425e-08,-7.2851860000000001e-31,-11.99583,-30,14.6,-1.28085e-21,0.0070825940000000002,-3.4291380000000001e-08,0,11.604089999999999
15000,1.5049270000000001e-08,-7.7958660000000004e-31,-11.9955,-30,14.6,-1.488077e-21,0.0076229059999999996,-3.6103680000000001e-08,0,11.604089999999999
15500,1.555467e-08,-8.2428050000000003e-31,-11.99516,-30,14.6,-1.278967e-21,0.0081865559999999993,-3.7952339999999997e-08,0,11.604089999999999
16000,1.606049e-08,-8.6184450000000008e-31,-11.9948,-30,14.6,-1.225689e-21,0.0087737749999999993,-3.9836779999999997e-08,0,11.60408
16500,1.6566729999999999e-08,-9.0948720000000009e-31,-11.994429999999999,-30,14.6,-1.308988e-21,0.009384781,-4.1756440000000001e-08,0,11.60408
17000,1.7073420000000002e-08,-9.5350570000000006e-31,-11.99404,-30,14.6,-1.548572e-21,0.010019780000000001,-4.371075e-08,0,11.60408
17500,1.7580559999999999e-08,-1.0073919999999999e-30,-11.99363,-30,14.6,-1.2730549999999999e-21,0.010678959999999999,-4.569913e-08,0,11.60408
18000,1.8088190000000001e-08,-1.052755e-30,-11.993220000000001,-30,14.6,-5.5247480000000001e-22,0.011362519999999999,-4.7721009999999998e-08,0,11.60408
18500,1.8596319999999999e-08,-1.0781730000000001e-30,-11.99278,-30,14.6,-6.917563e-22,0.012070610000000001,-4.9775830000000001e-08,0,11.60408
19000,1.9104959999999999e-08,-1.119775e-30,-11.992330000000001,-30,14.6,-8.7946599999999995e-22,0.0128034,-5.1863019999999999e-08,0,11.60408
19500,1.9614140000000001e-08,-1.1556810000000001e-30,-11.99187,-30,14.6,-1.065103e-21,0.01356105,-5.3982030000000003e-08,0,11.60408
20000,2.012388e-08,-1.187765e-30,-11.991379999999999,-30,14.6,-8.6312309999999998e-22,0.014343679999999999,-5.6132290000000002e-08,0,11.60408
20500,2.0634189999999999e-08,-1.2252609999999999e-30,-11.99089,-30,14.6,-1.0119639999999999e-21,0.01515143,-5.8313250000000001e-08,0,11.60408
21000,2.1145090000000001e-08,-1.267976e-30,-11.99037,-30,14.6,-1.4926640000000001e-21,0.015984410000000001,-6.0524350000000006e-08,0,11.60408
21500,2.1656610000000001e-08,-1.319194e-30,-11.989839999999999,-30,14.6,-1.4216000000000001e-21,0.016842739999999998,-6.2765050000000003e-08,0,11.60408
22000,2.2168760000000001e-08,-1.3763040000000001e-30,-11.9893,-30,14.6,-8.4133429999999998e-22,0.017726510000000001,-6.5034809999999999e-08,0,11.60408
22500,2.268156e-08,-1.4114250000000001e-30,-11.98874,-30,14.6,-2.6401309999999999e-22,0.018635820000000001,-6.7333070000000001e-08,0,11.60408
23000,2.319504e-08,-1.454526e-30,-11.988160000000001,-30,14.6,-1.2731000000000001e-21,0.019570750000000001,-6.9659319999999998e-08,0,11.60408
