t,max_slip_rate,moment_rate
0,-12,0
500,-12,23147.540000000001
1000,-11.939220000000001,23220.389999999999
1500,-11.87894,23298.860000000001
2000,-11.81915,23383.43
2500,-11.759840000000001,23474.599999999999
3000,-11.701000000000001,23572.91
3500,-11.64264,23678.959999999999
4000,-11.58473,23793.41
4500,-11.52727,23916.98
5000,-11.47026,24050.439999999999
5500,-11.413679999999999,24194.66
6000,-11.357530000000001,24350.560000000001
6500,-11.3018,24519.16
7000,-11.24649,24701.57
7500,-11.19158,24899.02
8000,-11.13707,25112.82
8500,-11.08296,25344.43
9000,-11.02923,25595.439999999999
9500,-10.97589,25867.560000000001
10000,-10.92292,26162.700000000001
10500,-10.87032,26482.91
11000,-10.81808,26830.439999999999
11500,-10.7662,27207.75
12000,-10.71467,27617.52
12500,-10.66348,28062.669999999998
13000,-10.612629999999999,28546.400000000001
13500,-10.56212,29072.18
14000,-10.511939999999999,29643.82
14500,-10.46208,30265.450000000001
15000,-10.41255,30941.59
15500,-10.36332,31677.16
16000,-10.314410000000001,32477.509999999998
16500,-10.265790000000001,33348.5
17000,-10.21748,34296.470000000001
17500,-10.16947,35328.379999999997
18000,-10.121740000000001,36451.760000000002
18500,-10.074299999999999,37674.82
19000,-10.027150000000001,39006.519999999997
19500,-9.9802680000000006,40456.580000000002
20000,-9.9336640000000003,42035.57
20500,-9.8873300000000004,43755.019999999997
21000,-9.8412629999999996,45627.440000000002
21500,-9.795458,47666.43
22000,-9.7499120000000001,49886.769999999997
22500,-9.7046220000000005,52304.510000000002
23000,-9.6595840000000006,54937.110000000001
23500,-9.6147939999999998,57803.480000000003
24000,-9.5702510000000007,60924.199999999997
24500,-9.5259499999999999,64321.540000000001
25000,-9.4818879999999996,68019.710000000006
25500,-9.4380629999999996,72044.940000000002
26000,-9.3944720000000004,76425.649999999994
26500,-9.3511129999999998,81192.649999999994
27000,-9.3079820000000009,86379.330000000002
27500,-9.2650780000000008,92021.800000000003
28000,-9.2223980000000001,98159.190000000002
28500,-9.1799400000000002,104833.8
29000,-9.1377030000000001,112091.39999999999
29500,-9.0956840000000003,119981.5
30000,-9.0538819999999998,128557.39999999999
30500,-9.0122949999999999,137877
31000,-8.9709219999999998,148002.5
31500,-8.9297620000000002,159001.10000000001
32000,-8.8888149999999992,170945.10000000001
32500,-8.8480790000000002,183912.79999999999
33000,-8.8075539999999997,197988.10000000001
33500,-8.767239,213261.29999999999
34000,-8.7271359999999998,229829.70000000001
34500,-8.6872439999999997,247797.70000000001
35000,-8.6475639999999991,267277.29999999999
35500,-8.6080959999999997,288388.59999999998
36000,-8.5688420000000001,311260.40000000002
36500,-8.5298040000000004,336030.09999999998
37000,-8.4909829999999999,362845.09999999998
37500,-8.4523829999999993,391862.20000000001
38000,-8.4140049999999995,423248.90000000002
38500,-8.3758520000000001,457183.20000000001
39000,-8.3379300000000001,493854.20000000001
39500,-8.3002409999999998,533462.80000000005
40000,-8.2627900000000007,576221.09999999998
40500,-8.2255839999999996,622353.59999999998
41000,-8.1886270000000003,672096.59999999998
41500,-8.1519259999999996,725698.5
42000,-8.1154879999999991,783419.59999999998
42500,-8.0793219999999994,845532.09999999998
43000,-8.0434359999999998,912319.09999999998
43500,-8.0078379999999996,984074.5
44000,-7.9725400000000004,1061102
44500,-7.937551,1143713
45000,-7.9028840000000002,1232228
45500,-7.8685520000000002,1326971
46000,-7.8345669999999998,1428269
46500,-7.8009440000000003,1536452
47000,-7.7676980000000002,1651845
47500,-7.734845,1774772
48000,-7.7024020000000002,1905543
48500,-7.6703859999999997,2044458
49000,-7.6388160000000003,2191800
49500,-7.60771,2347828
50000,-7.577089,2512776
50500,-7.5469720000000002,2686843
51000,-7.5173800000000002,2870192
