t,slip_2,slip_3,slip_rate_2,slip_rate_3,shear_stress_2,shear_stress_3,pore_pressure,darcy_vel_2,darcy_vel_3,state
0,0,0,-12,-20,14.6,0,0,0,0,11.604100000000001
500,5.0000000000000003e-10,1.131657e-21,-12,-23.34423,14.6,-5.7297640000000001e-10,1.074632e-08,1.778749e-13,-1.778749e-13,11.604100000000001
1000,1.0000000000000001e-09,-2.8302069999999999e-20,-12,-22.10519,14.6,-1.1978199999999999e-09,2.818255e-08,4.2923550000000002e-13,-4.2923550000000002e-13,11.604100000000001
1500,1.5000010000000001e-09,-8.0910880000000005e-20,-12,-21.891459999999999,14.6,-1.9303580000000001e-09,5.4986230000000001e-08,7.7048080000000002e-13,-7.7048080000000002e-13,11.604100000000001
2000,2.000001e-09,-1.6051860000000001e-19,-12,-21.729990000000001,14.6,-2.7788309999999999e-09,9.4387720000000001e-08,1.219657e-12,-1.219657e-12,11.604100000000001
2500,2.5000019999999999e-09,-2.7124209999999999e-19,-12,-21.597629999999999,14.6,-3.7521489999999998e-09,1.502157e-07,1.796459e-12,-1.796459e-12,11.604100000000001
3000,3.000004e-09,-4.1751569999999999e-19,-12,-21.484000000000002,14.6,-4.8599519999999998e-09,2.269409e-07,2.5222270000000001e-12,-2.5222270000000001e-12,11.604100000000001
3500,3.5000049999999998e-09,-6.0411659999999999e-19,-12,-21.383489999999998,14.6,-6.1126799999999996e-09,3.297189e-07,3.4199360000000002e-12,-3.4199360000000002e-12,11.604100000000001
4000,4.000007e-09,-8.3619399999999997e-19,-12,-21.292739999999998,14.6,-7.5216379999999999e-09,4.6443030000000001e-07,4.5141860000000003e-12,-4.5141860000000003e-12,11.604100000000001
4500,4.5000099999999996e-09,-1.1193000000000001e-18,-12,-21.20955,14.6,-9.0990839999999996e-09,6.3772010000000001e-07,5.831181e-12,-5.831181e-12,11.604089999999999
5000,5.0000119999999998e-09,-1.459422e-18,-12,-21.132380000000001,14.6,-1.085831e-08,8.5703450000000001e-07,7.3987089999999995e-12,-7.3987089999999995e-12,11.604089999999999
5500,5.5000159999999998e-09,-1.8630239999999999e-18,-12,-21.060140000000001,14.6,-1.281373e-08,1.1306560000000001e-06,9.2461180000000002e-12,-9.2461180000000002e-12,11.604089999999999
6000,6.0000190000000002e-09,-2.3370810000000001e-18,-12,-20.992010000000001,14.6,-1.498101e-08,1.4677369999999999e-06,1.140428e-11,-1.140428e-11,11.604089999999999
6500,6.5000239999999997e-09,-2.889129e-18,-12,-20.927350000000001,14.6,-1.7377149999999999e-08,1.878329e-06,1.390558e-11,-1.390558e-11,11.604089999999999
7000,7.0000279999999996e-09,-3.5273079999999997e-18,-12,-20.865670000000001,14.6,-2.0020599999999999e-08,2.373416e-06,1.6783849999999999e-11,-1.6783849999999999e-11,11.604089999999999
7500,7.5000340000000002e-09,-4.2604170000000002e-18,-12,-20.806560000000001,14.6,-2.293145e-08,2.9649359999999999e-06,2.0074360000000001e-11,-2.0074360000000001e-11,11.604089999999999
8000,8.00004e-09,-5.0979730000000002e-18,-11.99999,-20.749690000000001,14.6,-2.6131500000000001e-08,3.6658090000000002e-06,2.381375e-11,-2.381375e-11,11.604089999999999
8500,8.5000470000000001e-09,-6.0502689999999998e-18,-11.99999,-20.694790000000001,14.6,-2.9644500000000001e-08,4.4899589999999997e-06,2.804001e-11,-2.804001e-11,11.604089999999999
9000,9.0000540000000002e-09,-7.1284469999999999e-18,-11.99999,-20.641639999999999,14.6,-3.3496240000000001e-08,5.4523329999999997e-06,3.2792439999999997e-11,-3.2792439999999997e-11,11.604089999999999
9500,9.5000629999999993e-09,-8.3445700000000003e-18,-11.99999,-20.590029999999999,14.6,-3.7714830000000003e-08,6.5689230000000003e-06,3.811157e-11,-3.811157e-11,11.604089999999999
10000,1.0000069999999999e-08,-9.7117019999999995e-18,-11.99999,-20.539809999999999,14.6,-4.2330810000000003e-08,7.8567769999999995e-06,4.4039149999999998e-11,-4.4039149999999998e-11,11.604089999999999
10500,1.050008e-08,-1.1244e-17,-11.99999,-20.490829999999999,14.6,-4.7377460000000002e-08,9.3340189999999994e-06,5.0618069999999999e-11,-5.0618069999999999e-11,11.604089999999999
11000,1.10001e-08,-1.295681e-17,-11.99999,-20.442959999999999,14.6,-5.289102e-08,1.1019849999999999e-05,5.7892349999999999e-11,-5.7892349999999999e-11,11.604089999999999
11500,1.1500110000000001e-08,-1.4866770000000001e-17,-11.99999,-20.396090000000001,14.6,-5.8910919999999998e-08,1.293458e-05,6.590703e-11,-6.590703e-11,11.604089999999999
12000,1.200012e-08,-1.6991919999999999e-17,-11.99999,-20.35013,14.6,-6.5480129999999996e-08,1.509962e-05,7.4708169999999997e-11,-7.4708169999999997e-11,11.604089999999999
12500,1.2500139999999999e-08,-1.9351849999999999e-17,-11.999980000000001,-20.30499,14.6,-7.2645450000000004e-08,1.753746e-05,8.4342769999999999e-11,-8.4342769999999999e-11,11.604089999999999
13000,1.300016e-08,-2.1967820000000001e-17,-11.999980000000001,-20.260590000000001,14.6,-8.045786e-08,2.027174e-05,9.4858710000000001e-11,-9.4858710000000001e-11,11.604089999999999
13500,1.350018e-08,-2.4862889999999999e-17,-11.999980000000001,-20.21686,14.6,-8.897288e-08,2.3327199999999999e-05,1.063047e-10,-1.063047e-10,11.604089999999999
14000,1.4000200000000001e-08,-2.8062120000000001e-17,-11.999980000000001,-20.173749999999998,14.6,-9.8251039999999997e-08,2.6729689999999999e-05,1.1873030000000001e-10,-1.1873030000000001e-10,11.604089999999999
14500,1.450023e-08,-3.1592749999999997e-17,-11.999980000000001,-20.1312,14.6,-1.083583e-07,3.0506180000000001e-05,1.3218579999999999e-10,-1.3218579999999999e-10,11.604089999999999
15000,1.5000259999999999e-08,-3.5484330000000002e-17,-11.999969999999999,-20.08915,14.6,-1.1936640000000001e-07,3.468475e-05,1.46722e-10,-1.46722e-10,11.604089999999999
15500,1.550029e-08,-3.9769029999999999e-17,-11.999969999999999,-20.04757,14.6,-1.313536e-07,3.9294569999999999e-05,1.623905e-10,-1.623905e-10,11.604089999999999
16000,1.600033e-08,-4.4481769999999999e-17,-11.999969999999999,-20.006409999999999,14.6,-1.444053e-07,4.4365939999999998e-05,1.7924330000000001e-10,-1.7924330000000001e-10,11.60408
16500,1.6500370000000001e-08,-4.966056e-17,-11.99996,-19.965630000000001,14.6,-1.5861439999999999e-07,4.9930209999999999e-05,1.9733310000000001e-10,-1.9733310000000001e-10,11.60408
17000,1.7000409999999998e-08,-5.534669e-17,-11.99996,-19.9252,14.6,-1.740821e-07,5.6019849999999999e-05,2.1671299999999999e-10,-2.1671299999999999e-10,11.60408
17500,1.7500459999999999e-08,-6.1585090000000002e-17,-11.99996,-19.885090000000002,14.6,-1.9091869999999999e-07,6.2668370000000003e-05,2.3743649999999998e-10,-2.3743649999999998e-10,11.60408
18000,1.8000509999999999e-08,-6.8424649999999999e-17,-11.99995,-19.84526,14.6,-2.0924429999999999e-07,6.9910339999999996e-05,2.595573e-10,-2.595573e-10,11.60408
18500,1.850057e-08,-7.5918510000000006e-17,-11.99995,-19.805710000000001,14.6,-2.2919e-07,7.7781390000000006e-05,2.8312949999999998e-10,-2.8312949999999998e-10,11.60408
19000,1.900064e-08,-8.4124539999999995e-17,-11.99994,-19.766390000000001,14.6,-2.5089819999999999e-07,8.6318169999999994e-05,3.0820760000000002e-10,-3.0820760000000002e-10,11.60408
19500,1.9500710000000001e-08,-9.3105670000000001e-17,-11.99994,-19.72729,14.6,-2.7452429999999998e-07,9.5558330000000005e-05,3.3484620000000002e-10,-3.3484620000000002e-10,11.60408
20000,2.0000790000000001e-08,-1.0293040000000001e-16,-11.999930000000001,-19.688389999999998,14.6,-3.0023739999999999e-07,0.0001055405,3.6309980000000001e-10,-3.6309980000000001e-10,11.60408
20500,2.0500870000000001e-08,-1.136732e-16,-11.999919999999999,-19.64968,14.6,-3.2822169999999998e-07,0.0001163044,3.9302349999999998e-10,-3.9302349999999998e-10,11.60408
21000,2.1000970000000001e-08,-1.2541539999999999e-16,-11.999919999999999,-19.611129999999999,14.6,-3.586777e-07,0.0001278905,4.2467200000000001e-10,-4.2467200000000001e-10,11.60408
21500,2.1501070000000001e-08,-1.3824499999999999e-16,-11.99991,-19.57273,14.6,-3.918237e-07,0.0001403403,4.5810020000000001e-10,-4.5810020000000001e-10,11.60408
22000,2.2001180000000001e-08,-1.5225829999999999e-16,-11.9999,-19.534459999999999,14.6,-4.2789720000000002e-07,0.00015369639999999999,4.9336290000000004e-10,-4.9336290000000004e-10,11.60408
22500,2.25013e-08,-1.6755979999999999e-16,-11.999890000000001,-19.49633,14.6,-4.6715679999999999e-07,0.000168002,5.30515e-10,-5.30515e-10,11.60408
23000,2.300143e-08,-1.8426339999999999e-16,-11.999879999999999,-19.458300000000001,14.6,-5.0988399999999996e-07,0.00018330129999999999,5.696111e-10,-5.696111e-10,11.60408
23500,2.350157e-08,-2.0249299999999999e-16,-11.99987,-19.420390000000001,14.6,-5.5638460000000002e-07,0.00019963939999999999,6.107056e-10,-6.107056e-10,11.60408
24000,2.4001729999999999e-08,-2.2238330000000002e-16,-11.99986,-19.382560000000002,14.6,-6.0699179999999998e-07,0.0002170621,6.538527e-10,-6.538527e-10,11.60408
24500,2.4501890000000001e-08,-2.4408110000000001e-16,-11.99985,-19.344830000000002,14.6,-6.6206750000000004e-07,0.0002356161,6.9910660000000003e-10,-6.9910660000000003e-10,11.60408
25000,2.500207e-08,-2.6774620000000001e-16,-11.999840000000001,-19.307179999999999,14.6,-7.2200540000000003e-07,0.0002553489,7.465209e-10,-7.465209e-10,11.60408
25500,2.5502269999999999e-08,-2.9355220000000001e-16,-11.99982,-19.269600000000001,14.6,-7.8723350000000003e-07,0.00027630850000000002,7.9614899999999998e-10,-7.9614899999999998e-10,11.60408
26000,2.6002480000000001e-08,-3.2168819999999999e-16,-11.99981,-19.232089999999999,14.6,-8.5821670000000001e-07,0.0002985439,8.4804400000000003e-10,-8.4804400000000003e-10,11.60408
26500,2.6502699999999999e-08,-3.5235989999999999e-16,-11.9998,-19.19464,14.6,-9.3546040000000001e-07,0.0003221047,9.0225860000000001e-10,-9.0225860000000001e-10,11.60408
27000,2.7002950000000001e-08,-3.8579100000000002e-16,-11.999779999999999,-19.157250000000001,14.6,-1.0195139999999999e-06,0.00034704119999999999,9.5884480000000005e-10,-9.5884480000000005e-10,11.60408
27500,2.7503209999999999e-08,-4.2222489999999999e-16,-11.99976,-19.11993,14.6,-1.1109719999999999e-06,0.00037340419999999999,1.0178550000000001e-09,-1.0178550000000001e-09,11.60407
28000,2.800349e-08,-4.6192639999999995e-16,-11.999750000000001,-19.082650000000001,14.6,-1.2104840000000001e-06,0.00040124520000000001,1.079339e-09,-1.079339e-09,11.60407
28500,2.8503790000000001e-08,-5.0518319999999997e-16,-11.99973,-19.04542,14.6,-1.3187509999999999e-06,0.00043061640000000001,1.1433490000000001e-09,-1.1433490000000001e-09,11.60407
29000,2.9004110000000001e-08,-5.5230830000000001e-16,-11.99971,-19.00825,14.6,-1.4365360000000001e-06,0.00046157039999999999,1.2099349999999999e-09,-1.2099349999999999e-09,11.60407
29500,2.9504459999999998e-08,-6.0364190000000004e-16,-11.999689999999999,-18.971119999999999,14.6,-1.5646649999999999e-06,0.00049416029999999999,1.279146e-09,-1.279146e-09,11.60407
30000,3.0004830000000002e-08,-6.5955390000000003e-16,-11.99967,-18.93404,14.6,-1.7040370000000001e-06,0.0005284399,1.3510309999999999e-09,-1.3510309999999999e-09,11.60407
30500,3.0505219999999998e-08,-7.2044600000000003e-16,-11.999650000000001,-18.896999999999998,14.6,-1.8556230000000001e-06,0.00056446320000000003,1.4256400000000001e-09,-1.4256400000000001e-09,11.60407
31000,3.1005639999999998e-08,-7.86755e-16,-11.99962,-18.860009999999999,14.6,-2.020477e-06,0.0006022849,1.503018e-09,-1.503018e-09,11.60407
31500,3.150609e-08,-8.5895530000000002e-16,-11.999599999999999,-18.823060000000002,14.6,-2.199741e-06,0.00064195989999999998,1.5832150000000001e-09,-1.5832150000000001e-09,11.60407
