t,slip_2,slip_3,slip_rate_2,slip_rate_3,shear_stress_2,shear_stress_3,pore_pressure,darcy_vel_2,darcy_vel_3,state
0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.20000000e+01,-2.00000000e+01,1.46000000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.16041000e+01
5.00000000e+03,5.00177000e-09,-4.78095700e-32,-1.19995600e+01,-3.00000000e+01,1.46000000e+01,-2.12327900e-22,8.41463600e-04,-7.51455700e-09,0.00000000e+00,1.16040900e+01
1.05000000e+04,1.05161600e-08,-3.72071000e-31,-1.19979500e+01,-3.00000000e+01,1.46000000e+01,-1.29437300e-21,3.56819900e-03,-2.11706400e-08,0.00000000e+00,1.16040900e+01
1.55000000e+04,1.55546700e-08,-8.24280500e-31,-1.19951600e+01,-3.00000000e+01,1.46000000e+01,-1.27896700e-21,8.18655600e-03,-3.79523400e-08,0.00000000e+00,1.16040900e+01
2.10000000e+04,2.11450900e-08,-1.26797600e-30,-1.19903700e+01,-3.00000000e+01,1.46000000e+01,-1.49266400e-21,1.59844100e-02,-6.05243500e-08,0.00000000e+00,1.16040800e+01
2.65000000e+04,2.68099600e-08,-1.73435100e-30,-1.19836500e+01,-3.00000000e+01,1.46000100e+01,-1.07306200e-21,2.68377000e-02,-8.66822300e-08,0.00000000e+00,1.16040800e+01
3.15000000e+04,3.20472900e-08,-2.09648600e-30,-1.19758000e+01,-3.00000000e+01,1.46000100e+01,-1.11704700e-21,3.94257000e-02,-1.12988900e-07,0.00000000e+00,1.16040700e+01
3.70000000e+04,3.79314200e-08,-2.77211700e-30,-1.19652500e+01,-3.00000000e+01,1.46000400e+01,-3.62528100e-21,5.62513500e-02,-1.44128000e-07,0.00000000e+00,1.16040700e+01
4.20000000e+04,4.34175500e-08,-3.86238100e-30,-1.19539200e+01,-3.00000000e+01,1.46000900e+01,-1.35056200e-21,7.41864300e-02,-1.73991000e-07,0.00000000e+00,1.16040600e+01
4.75000000e+04,4.96330100e-08,-8.55804700e-30,-1.19395800e+01,-3.00000000e+01,1.46002100e+01,-6.72216300e-21,9.66958300e-02,-2.08111100e-07,0.00000000e+00,1.16040600e+01
5.30000000e+04,5.60716600e-08,-1.76307000e-29,-1.19232900e+01,-3.00000000e+01,1.46004700e+01,-1.71575900e-20,1.21959800e-01,-2.43170800e-07,0.00000000e+00,1.16040500e+01
5.80000000e+04,6.21507100e-08,-3.41692600e-29,-1.19067700e+01,-3.00000000e+01,1.46009300e+01,-5.57692500e-20,1.47164200e-01,-2.75570700e-07,0.00000000e+00,1.16040400e+01
6.35000000e+04,6.91249400e-08,-7.39141900e-29,-1.18867200e+01,-3.00000000e+01,1.46017500e+01,-3.88387800e-20,1.77172300e-01,-3.11525900e-07,0.00000000e+00,1.16040400e+01
6.90000000e+04,7.64450700e-08,-1.22814600e-28,-1.18647500e+01,-3.00000000e+01,1.46029900e+01,-6.14570000e-20,2.09383900e-01,-3.47581600e-07,0.00000000e+00,1.16040300e+01
7.40000000e+04,8.34430600e-08,-1.88292000e-28,-1.18430700e+01,-3.00000000e+01,1.46045800e+01,-3.01374400e-19,2.40417500e-01,-3.80281500e-07,0.00000000e+00,1.16040300e+01
7.95000000e+04,9.15740900e-08,-3.10454900e-28,-1.18171000e+01,-3.00000000e+01,1.46071600e+01,-1.99808100e-19,2.76307100e-01,-4.16017500e-07,0.00000000e+00,1.16040200e+01
8.45000000e+04,9.94209400e-08,-4.30986100e-28,-1.17911800e+01,-3.00000000e+01,1.46106900e+01,-5.12577500e-19,3.10381700e-01,-4.48186200e-07,0.00000000e+00,1.16040100e+01
9.00000000e+04,1.08641600e-07,-6.53123500e-28,-1.17596800e+01,-3.00000000e+01,1.46163400e+01,-4.19006200e-19,3.49299000e-01,-4.83124500e-07,0.00000000e+00,1.16040000e+01
9.51090000e+04,1.17863300e-07,-9.55411300e-28,-1.17270600e+01,-3.00000000e+01,1.46235400e+01,4.52904200e-19,3.86665000e-01,-5.15087200e-07,0.00000000e+00,1.16040000e+01
9.92107917e+04,1.25806600e-07,-1.16192700e-27,-1.16987500e+01,-3.00000000e+01,1.46307800e+01,-3.29588400e-19,4.17429400e-01,-5.40367900e-07,0.00000000e+00,1.16039900e+01
1.03427800e+05,1.34550400e-07,-1.90292000e-27,-1.16677400e+01,-3.00000000e+01,1.46395600e+01,-1.99313400e-18,4.49699200e-01,-5.65981500e-07,0.00000000e+00,1.16039800e+01
1.07577817e+05,1.43806400e-07,-2.78071000e-27,-1.16354100e+01,-3.00000000e+01,1.46495200e+01,1.03936000e-18,4.82032100e-01,-5.90798200e-07,0.00000000e+00,1.16039700e+01
1.11354296e+05,1.52865900e-07,-2.69223200e-27,-1.16045700e+01,-3.00000000e+01,1.46595600e+01,1.21982600e-18,5.11905700e-01,-6.13033800e-07,0.00000000e+00,1.16039700e+01
1.15742646e+05,1.64252300e-07,-3.05759900e-27,-1.15671800e+01,-3.00000000e+01,1.46723000e+01,-1.45567100e-18,5.47106600e-01,-6.38446800e-07,0.00000000e+00,1.16039600e+01
1.19433971e+05,1.74648300e-07,-3.84287100e-27,-1.15333500e+01,-3.00000000e+01,1.46844800e+01,-1.77783200e-18,5.77085800e-01,-6.59461100e-07,0.00000000e+00,1.16039500e+01
1.22992175e+05,1.85491500e-07,-4.52371900e-27,-1.14987000e+01,-3.00000000e+01,1.46979000e+01,1.43964300e-18,6.06272800e-01,-6.79399800e-07,0.00000000e+00,1.16039400e+01
1.26245363e+05,1.96215100e-07,-4.43523700e-27,-1.14651400e+01,-3.00000000e+01,1.47117200e+01,3.24216400e-18,6.33182900e-01,-6.97355300e-07,0.00000000e+00,1.16039300e+01
1.29035858e+05,2.06117900e-07,-1.81257500e-27,-1.14346000e+01,-3.00000000e+01,1.47250200e+01,9.48128500e-18,6.56421800e-01,-7.12548100e-07,0.00000000e+00,1.16039200e+01
1.32043337e+05,2.17627000e-07,1.52098500e-27,-1.13996500e+01,-3.00000000e+01,1.47411300e+01,7.57732900e-18,6.81615200e-01,-7.28706700e-07,0.00000000e+00,1.16039100e+01
1.35318879e+05,2.31289200e-07,2.08554200e-27,-1.13599300e+01,-2.98433600e+01,1.47600500e+01,4.27022300e-19,7.09212200e-01,-7.46052500e-07,0.00000000e+00,1.16039000e+01
1.38363417e+05,2.45173200e-07,-1.56356600e-27,-1.13223000e+01,-2.99308500e+01,1.47780800e+01,-1.07873300e-17,7.34997300e-01,-7.61938600e-07,0.00000000e+00,1.16038900e+01
1.41807487e+05,2.62412900e-07,-8.32537300e-27,-1.12789800e+01,-2.96279800e+01,1.47989300e+01,-2.47146400e-18,7.64306200e-01,-7.79636400e-07,0.00000000e+00,1.16038700e+01
1.44977908e+05,2.79894200e-07,-1.79874400e-26,-1.12383500e+01,-2.91441100e+01,1.48186700e+01,2.14707700e-18,7.91403800e-01,-7.95673100e-07,0.00000000e+00,1.16038600e+01
