t,slip_2,slip_3,slip_rate_2,slip_rate_3,shear_stress_2,shear_stress_3,pore_pressure,darcy_vel_2,darcy_vel_3,state
0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.20000000e+01,-2.00000000e+01,1.46000000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.16041000e+01
5.00000000e+03,5.00001200e-09,1.45942200e-18,-1.20000000e+01,-2.11323800e+01,1.46000000e+01,1.08583100e-08,8.57034500e-07,-7.39870900e-12,-7.39870900e-12,1.16040900e+01
1.05000000e+04,1.05000800e-08,1.12440000e-17,-1.19999900e+01,-2.04908300e+01,1.46000000e+01,4.73774600e-08,9.33401900e-06,-5.06180700e-11,-5.06180700e-11,1.16040900e+01
1.55000000e+04,1.55002900e-08,3.97690300e-17,-1.19999700e+01,-2.00475700e+01,1.46000000e+01,1.31353600e-07,3.92945700e-05,-1.62390500e-10,-1.62390500e-10,1.16040900e+01
2.10000000e+04,2.10009700e-08,1.25415400e-16,-1.19999200e+01,-1.96111300e+01,1.46000000e+01,3.58677700e-07,1.27890500e-04,-4.24672000e-10,-4.24672000e-10,1.16040800e+01
2.65000000e+04,2.65027000e-08,3.52359900e-16,-1.19998000e+01,-1.91946400e+01,1.46000000e+01,9.35460400e-07,3.22104700e-04,-9.02258600e-10,-9.02258600e-10,1.16040800e+01
3.15000000e+04,3.15060900e-08,8.58955300e-16,-1.19996000e+01,-1.88230600e+01,1.46000000e+01,2.19974100e-06,6.41959900e-04,-1.58321500e-09,-1.58321500e-09,1.16040700e+01
3.70000000e+04,3.70132700e-08,2.22616200e-15,-1.19992400e+01,-1.84199100e+01,1.46000100e+01,5.56048700e-06,1.21677300e-03,-2.66406400e-09,-2.66406400e-09,1.16040700e+01
4.20000000e+04,4.20247200e-08,5.19634200e-15,-1.19987400e+01,-1.80603300e+01,1.46000200e+01,1.27091400e-05,2.00365000e-03,-3.99347400e-09,-3.99347400e-09,1.16040600e+01
4.75000000e+04,4.75453900e-08,1.29166100e-14,-1.19979500e+01,-1.76775800e+01,1.46000500e+01,3.06143600e-05,3.23096800e-03,-5.87768200e-09,-5.87768200e-09,1.16040600e+01
5.30000000e+04,5.30781100e-08,3.10352200e-14,-1.19968400e+01,-1.73179200e+01,1.46001200e+01,6.98594100e-05,4.90946100e-03,-8.23369900e-09,-8.23369900e-09,1.16040500e+01
5.80000000e+04,5.81221900e-08,6.57336100e-14,-1.19954800e+01,-1.70231900e+01,1.46002400e+01,1.37189500e-04,6.88545000e-03,-1.08006300e-08,-1.08006300e-08,1.16040500e+01
