t,max_slip_rate,moment_density_rate
0.00000000e+00,-1.20000000e+01,0.00000000e+00
5.00000000e+03,-1.14702600e+01,2.40504400e+04
1.05000000e+04,-1.08703200e+01,2.64829100e+04
1.55000000e+04,-1.03633200e+01,3.16771600e+04
2.10000000e+04,-9.84126300e+00,4.56274400e+04
2.65000000e+04,-9.35111300e+00,8.11926500e+04
3.15000000e+04,-8.92976200e+00,1.59001100e+05
3.70000000e+04,-8.49098300e+00,3.62845100e+05
4.20000000e+04,-8.11548800e+00,7.83419600e+05
4.75000000e+04,-7.73484500e+00,1.77477200e+06
5.30000000e+04,-7.40468200e+00,3.69806200e+06
5.80000000e+04,-7.16950800e+00,6.37707300e+06
6.35000000e+04,-6.99794200e+00,9.89257100e+06
6.90000000e+04,-6.90622400e+00,1.36278600e+07
7.40000000e+04,-6.86246700e+00,1.79587300e+07
7.95000000e+04,-6.82182200e+00,2.55015700e+07
8.45000000e+04,-6.77045500e+00,3.59059700e+07
9.00000000e+04,-6.69944100e+00,5.05894200e+07
9.51090000e+04,-6.63103800e+00,6.70589100e+07
9.92107917e+04,-6.59388400e+00,8.09838400e+07
1.03427800e+05,-6.57576800e+00,9.57567400e+07
1.07577817e+05,-6.57377200e+00,1.09595300e+08
1.11354296e+05,-6.58672700e+00,1.19667600e+08
1.15742646e+05,-6.59803200e+00,1.34897900e+08
1.19433971e+05,-6.53243400e+00,1.55853900e+08
1.22992175e+05,-6.48538300e+00,1.77341900e+08
1.26245363e+05,-6.45501700e+00,1.98031000e+08
1.29035858e+05,-6.43591600e+00,2.19360900e+08
1.32043337e+05,-6.45365400e+00,2.39405400e+08
1.35318879e+05,-6.47766700e+00,2.40622200e+08
1.38363417e+05,-6.49260300e+00,2.37596100e+08
1.41807487e+05,-6.49602800e+00,2.39666500e+08
1.44977908e+05,-6.51100500e+00,2.38253400e+08
1.48704096e+05,-6.56054100e+00,2.13343100e+08
1.53081471e+05,-6.65313800e+00,1.80518300e+08
1.57940958e+05,-6.77019700e+00,1.60325400e+08
1.63440958e+05,-6.85469200e+00,1.47858200e+08
1.68940958e+05,-6.84521800e+00,1.44990800e+08
1.73940958e+05,-6.83343600e+00,1.51364000e+08
1.79440958e+05,-6.81344900e+00,1.68041800e+08
1.84440958e+05,-6.78484400e+00,1.93130400e+08
1.89940958e+05,-6.70634900e+00,2.33738800e+08
1.94896975e+05,-6.59039300e+00,2.89246300e+08
1.98458871e+05,-6.50518500e+00,3.36683400e+08
2.01720054e+05,-6.43460200e+00,3.73971300e+08
2.04572233e+05,-6.39564400e+00,3.96085900e+08
2.07096962e+05,-6.43272400e+00,4.00801700e+08
2.10288446e+05,-6.48193700e+00,3.82523900e+08
2.13461100e+05,-6.52844400e+00,3.70186500e+08
2.17512133e+05,-6.63356700e+00,3.55386600e+08
2.22843025e+05,-6.73455700e+00,3.21713000e+08
2.27843025e+05,-6.72392200e+00,3.04458100e+08
2.33343025e+05,-6.72893000e+00,2.94644800e+08
2.38843025e+05,-6.73452200e+00,2.89154400e+08
2.43843025e+05,-6.73634800e+00,2.89178300e+08
2.49343025e+05,-6.72249300e+00,2.95866800e+08
2.54343025e+05,-6.71049100e+00,3.07164000e+08
2.59843025e+05,-6.71891000e+00,3.16322800e+08
2.65343025e+05,-6.83170700e+00,3.00860800e+08
2.70343025e+05,-6.90678100e+00,2.78854500e+08
2.75843025e+05,-6.89630400e+00,2.67659200e+08
2.81343025e+05,-6.90110800e+00,2.68824900e+08
2.86343025e+05,-6.90650700e+00,2.77906100e+08
2.91843025e+05,-6.82671500e+00,2.95480000e+08
2.96843025e+05,-6.75361200e+00,3.18602800e+08
3.02301700e+05,-6.66987800e+00,3.54212500e+08
3.07021367e+05,-6.58759700e+00,3.99871100e+08
3.10640838e+05,-6.52342300e+00,4.46656600e+08
3.14109875e+05,-6.47624800e+00,5.02891900e+08
3.17462888e+05,-6.49021100e+00,5.53450700e+08
3.20468954e+05,-6.46962200e+00,5.93831100e+08
3.23772900e+05,-6.50516300e+00,6.29815000e+08
3.27298325e+05,-6.55689500e+00,6.27489400e+08
3.31274296e+05,-6.56842200e+00,5.98322200e+08
3.35530546e+05,-6.61420600e+00,5.50178000e+08
3.39855125e+05,-6.66241500e+00,5.11362800e+08
3.45160796e+05,-6.70881800e+00,4.81094300e+08
3.50160796e+05,-6.75956800e+00,4.57297400e+08
3.55660796e+05,-6.89581400e+00,4.24657900e+08
3.61160796e+05,-6.94211400e+00,3.84062600e+08
3.66160796e+05,-6.90535200e+00,3.25678200e+08
3.71660796e+05,-6.88009100e+00,2.92281900e+08
3.77160796e+05,-6.86732700e+00,2.71861400e+08
3.82160796e+05,-6.86298500e+00,2.59242800e+08
3.87660796e+05,-6.86350800e+00,2.49395600e+08
3.92660796e+05,-6.86784600e+00,2.42924100e+08
3.98160796e+05,-6.87920200e+00,2.37439700e+08
4.03660796e+05,-6.91019100e+00,2.31762600e+08
4.08660796e+05,-6.97465100e+00,2.23817900e+08
4.14160796e+05,-7.00279600e+00,2.12086900e+08
4.19660796e+05,-7.04970900e+00,2.00924700e+08
4.24660796e+05,-7.09512900e+00,1.92135900e+08
4.30160796e+05,-7.11312600e+00,1.83822200e+08
4.35160796e+05,-7.08747600e+00,1.77969800e+08
4.40660796e+05,-7.06055100e+00,1.73677400e+08
4.46160796e+05,-7.03457500e+00,1.71381300e+08
4.51160796e+05,-7.01142600e+00,1.70704500e+08
4.56660796e+05,-6.98613500e+00,1.71199900e+08
4.62160796e+05,-6.96089600e+00,1.72706500e+08
4.67160796e+05,-6.93856500e+00,1.74716000e+08
4.72660796e+05,-6.91797200e+00,1.77314600e+08
4.77660796e+05,-6.91303900e+00,1.79401900e+08
4.83160796e+05,-6.93070300e+00,1.79664000e+08
4.88660796e+05,-6.93206500e+00,1.76393900e+08
4.93660796e+05,-6.96216500e+00,1.71064100e+08
4.99160796e+05,-7.04091400e+00,1.62581800e+08
5.04660796e+05,-7.09185400e+00,1.52376700e+08
5.09660796e+05,-7.11097500e+00,1.44078600e+08
5.15160796e+05,-7.13805700e+00,1.37073000e+08
