fault_index,nid_dip,nid_strike,shear_strike,shear_dip,effective_normal,slip_rate,state_variable,state_normal,vxm,vym,vzm,vxs,vys,vzs,slips,slipd,slipn
0,1,1,1.26260020000000E+07,-3.27369812500000E+05,-2.44549100000000E+07,5.91646787118094E-10,1.74362784000000E+08,2.44549100000000E+07,2.95724000842768E-10,5.47931198371969E-26,-7.66759832709907E-12,-2.95724000842768E-10,-5.47931198371969E-26,7.66759832709907E-12,2.08302259445190E-01,-2.53457436338067E-03,-1.79104597124100E-19
0,1,2,1.27958260000000E+07,-2.00265078125000E+05,-2.47950500000000E+07,5.85032189359680E-10,1.75362800000000E+08,2.47950500000000E+07,2.92480289987296E-10,5.40080491621065E-26,-4.57755404761895E-12,-2.92480289987296E-10,-5.40080491621065E-26,4.57755404761895E-12,2.06753060221672E-01,-1.52886600699276E-03,-1.79104597124100E-19
0,1,3,1.28324040000000E+07,-1.35057531250000E+05,-2.49219920000000E+07,5.56943824392420E-10,1.80106784000000E+08,2.49219920000000E+07,2.78456507851743E-10,5.13310804951181E-26,-2.93067826950821E-12,-2.78456507851743E-10,-5.13310804951181E-26,2.93067826950821E-12,1.99739709496498E-01,-9.41143021918833E-04,-1.79104597124100E-19
0,1,4,1.28230740000000E+07,-9.94082031250000E+04,-2.49602900000000E+07,5.32156152477370E-10,1.84095968000000E+08,2.49602900000000E+07,2.66070082632908E-10,4.90025818885473E-26,-2.06265278294981E-12,-2.66070082632908E-10,-4.90025818885473E-26,2.06265278294981E-12,1.94305703043938E-01,-6.38417317532003E-04,-1.79104597124100E-19
0,1,5,1.28023410000000E+07,-7.82495078125000E+04,-2.49713840000000E+07,5.11916065093487E-10,1.87158832000000E+08,2.49713840000000E+07,2.55953258587738E-10,4.71136421250440E-26,-1.56441829976539E-12,-2.55953258587738E-10,-4.71136421250440E-26,1.56441829976539E-12,1.90407514572144E-01,-4.76322078611702E-04,-1.79104597124100E-19
0,1,6,1.27810670000000E+07,-6.37824882812500E+04,-2.49735000000000E+07,4.96144403339116E-10,1.89414848000000E+08,2.49735000000000E+07,2.48069120800665E-10,4.56453593577618E-26,-1.23796123092240E-12,-2.48069120800665E-10,-4.56453593577618E-26,1.23796123092240E-12,1.87683790922165E-01,-3.77400079742074E-04,-1.79104597124100E-19
0,1,7,1.27624170000000E+07,-5.17844960937500E+04,-2.49742460000000E+07,4.83486084501550E-10,1.91158832000000E+08,2.49742460000000E+07,2.41741043849331E-10,4.44671709439110E-26,-9.80883018038281E-13,-2.41741043849331E-10,-4.44671709439110E-26,9.80883018038281E-13,1.85655921697617E-01,-3.03003820590675E-04,-1.79104597124100E-19
0,1,8,1.27470870000000E+07,-4.18034882812500E+04,-2.49758260000000E+07,4.73189931682327E-10,1.92555056000000E+08,2.49758260000000E+07,2.36593689084685E-10,4.35090654781530E-26,-7.75898117456875E-13,-2.36593689084685E-10,-4.35090654781530E-26,7.75898117456875E-13,1.84068977832794E-01,-2.43957285420038E-04,-1.79104597124100E-19
0,1,9,1.27346620000000E+07,-3.34272578125000E+04,-2.49784080000000E+07,4.64674909661511E-10,1.93711376000000E+08,2.49784080000000E+07,2.32336649919063E-10,4.27168950549156E-26,-6.09861282568208E-13,-2.32336649919063E-10,-4.27168950549156E-26,6.09861282568208E-13,1.82770162820816E-01,-1.95645814528689E-04,-1.79104597124100E-19
0,1,10,1.27245700000000E+07,-2.65519824218750E+04,-2.49815860000000E+07,4.57572812972984E-10,1.94686096000000E+08,2.49815860000000E+07,2.28785920763919E-10,4.20565229511203E-26,-4.77400779498593E-13,-2.28785920763919E-10,-4.20565229511203E-26,4.77400779498593E-13,1.81681513786316E-01,-1.56569149112329E-04,-1.79104597124100E-19
